State/Territory,Suburb/Locality,Postcode,MMM classification,,
New South Wales,BENOLONG,2818,5,,
New South Wales,BENSVILLE,2251,1,,
New South Wales,BENTLEY (NSW),2480,5,,
New South Wales,BERALA,2141,1,,
New South Wales,BERAMBING,2758,5,,
New South Wales,BERESFIELD,2322,1,,
New South Wales,BERGALIA,2537,5,,
New South Wales,BERKELEY,2506,1,,
New South Wales,BERKELEY VALE,2261,1,,
New South Wales,BERKSHIRE PARK,2765,1,,
New South Wales,BERLANG,2622,5,,
New South Wales,BERMAGUI,2546,5,,
New South Wales,BEROWRA,2081,1,,
New South Wales,BEROWRA CREEK,2082,2,,
New South Wales,BEROWRA HEIGHTS,2082,1,,
New South Wales,BEROWRA WATERS,2082,2,,
New South Wales,BERRAMBOOL,2548,4,,
New South Wales,BERRARA,2540,5,,
New South Wales,BERREMANGRA,2582,5,,
New South Wales,BERRICO,2422,5,,
New South Wales,BERRIDALE,2628,5,,
New South Wales,BERRIGAL,2390,5,,
New South Wales,BERRIGAN,2712,5,,
New South Wales,BERRILEE,2159,2,,
New South Wales,BERRIMA,2577,3,,
New South Wales,BERRINGER LAKE,2539,5,,
New South Wales,BERRY,2535,3,,
New South Wales,BERRY JERRY,2701,5,,
New South Wales,BERRY MOUNTAIN,2535,3,,
New South Wales,BERRY PARK,2321,1,,
New South Wales,BERTHONG,2594,5,,
New South Wales,BERYL,2852,5,,
New South Wales,BETHUNGRA,2590,5,,
New South Wales,BEVENDALE,2581,5,,
New South Wales,BEVERLEY PARK,2217,1,,
New South Wales,BEVERLY HILLS,2209,1,,
New South Wales,BEWONG,2540,4,,
New South Wales,BEXHILL,2480,3,,
New South Wales,BEXLEY,2207,1,,
New South Wales,BEXLEY NORTH,2207,1,,
New South Wales,BIALA,2581,5,,
New South Wales,BIBBENLUKE,2632,5,,
New South Wales,BICKLEY VALE,2570,1,,
New South Wales,BIDDON,2827,5,,
New South Wales,BIDGEEMIA,2642,5,,
New South Wales,BIDWILL (NSW),2770,1,,
New South Wales,BIELSDOWN HILLS,2453,5,,
New South Wales,BIG HILL (NSW),2579,5,,
New South Wales,BIG JACKS CREEK,2339,5,,
New South Wales,BIG RIDGE,2330,4,,
New South Wales,BIG SPRINGS,2650,5,,
New South Wales,BIG YENGO,2330,5,,
New South Wales,BIGGA,2583,5,,
New South Wales,BILAMBIL,2486,1,,
New South Wales,BILAMBIL HEIGHTS,2486,1,,
New South Wales,BILBUL,2680,3,,
New South Wales,BILGOLA BEACH,2107,1,,
New South Wales,BILGOLA PLATEAU,2107,1,,
New South Wales,BILLEROY,2829,6,,
New South Wales,BILLILINGRA,2630,5,,
New South Wales,BILLIMARI,2804,5,,
New South Wales,BILLINUDGEL,2483,5,,
New South Wales,BILLYS CREEK,2453,5,,
New South Wales,BILLYWILLINGA,2795,5,,
New South Wales,BILPIN,2758,5,,
New South Wales,BIMBERI,2611,5,,
New South Wales,BIMBI,2810,5,,
New South Wales,BIMBIMBIE,2536,4,,
New South Wales,BINALONG,2584,5,,
New South Wales,BINDA,2583,5,,
New South Wales,BINDERA,2422,5,,
New South Wales,BINGARA,2404,5,,
New South Wales,BINGEEBEEBRA CREEK,2469,5,,
New South Wales,BINGIE,2537,5,,
New South Wales,BINGLEBURRA,2311,5,,
New South Wales,BINIGUY,2399,5,,
New South Wales,BINJURA,2630,5,,
New South Wales,BINNA BURRA (NSW),2479,5,,
New South Wales,BINNAWAY,2395,5,,
New South Wales,BINYA,2665,5,,
New South Wales,BIRCHGROVE,2041,1,,
New South Wales,BIRDWOOD (NSW),2446,5,,
New South Wales,BIRGANBIGIL,2710,5,,
New South Wales,BIRMINGHAM GARDENS,2287,1,,
New South Wales,BIRRIWA,2844,5,,
New South Wales,BIRRONG,2143,1,,
