LGA_Code,LGA_Name,Year,Estimated_resident_population_(no.),Persons_Aged_0-14,Percent_Aged_0-14,Persons_Aged_15-24,Percent_Aged_15-24,Persons_Aged_25-34,Percent_Aged_25-34,Persons_Aged_35-44,Percent_Aged_35-44,Persons_Aged_45-54,Percent_Aged_45-54,Persons_Aged_55-64,Percent_Aged_55-64,Persons_Aged_65+,Percent_Aged_65+
56930,Peppermint Grove,2023,1736,255,14.7,409,23.6,147,8.5,128,7.4,211,12.2,220,12.7,366,21.1
57000,Perenjori,2020,632,86,13.6,45,7.1,94,14.9,97,15.3,97,15.3,122,19.3,91,14.4
57000,Perenjori,2021,652,87,13.3,58,8.9,87,13.3,96,14.7,101,15.5,123,18.9,100,15.3
57000,Perenjori,2022,652,102,15.6,47,7.2,75,11.5,98,15,102,15.6,126,19.3,102,15.6
57000,Perenjori,2023,649,99,15.3,49,7.6,72,11.1,109,16.8,82,12.6,135,20.8,103,15.9
57080,Perth,2020,29588,2126,7.2,5297,17.9,9008,30.4,4692,15.9,2834,9.6,2576,8.7,3055,10.3
57080,Perth,2021,29653,2103,7.1,5163,17.4,8906,30,4977,16.8,2789,9.4,2562,8.6,3153,10.6
57080,Perth,2022,30580,2055,6.7,5063,16.6,9257,30.3,5335,17.4,2885,9.4,2607,8.5,3378,11
57080,Perth,2023,32856,2012,6.1,5635,17.2,10544,32.1,5717,17.4,2848,8.7,2603,7.9,3497,10.6
57140,Pingelly,2020,1086,177,16.3,85,7.8,105,9.7,112,10.3,127,11.7,191,17.6,289,26.6
57140,Pingelly,2021,1072,166,15.5,90,8.4,96,9,106,9.9,126,11.8,187,17.4,301,28.1
57140,Pingelly,2022,1068,166,15.5,82,7.7,101,9.5,111,10.4,114,10.7,188,17.6,306,28.7
57140,Pingelly,2023,1084,161,14.9,87,8,111,10.2,108,10,101,9.3,188,17.3,328,30.3
57210,Plantagenet,2020,5410,941,17.4,500,9.2,458,8.5,601,11.1,789,14.6,914,16.9,1207,22.3
57210,Plantagenet,2021,5534,942,17,508,9.2,467,8.4,596,10.8,797,14.4,936,16.9,1288,23.3
57210,Plantagenet,2022,5587,922,16.5,513,9.2,447,8,611,10.9,813,14.6,932,16.7,1349,24.1
57210,Plantagenet,2023,5669,920,16.2,545,9.6,467,8.2,584,10.3,820,14.5,938,16.5,1395,24.6
57280,Port Hedland,2020,16115,3974,24.7,1781,11.1,3380,21,2758,17.1,2091,13,1553,9.6,578,3.6
57280,Port Hedland,2021,16666,4159,25,1799,10.8,3323,19.9,2973,17.8,2129,12.8,1682,10.1,601,3.6
57280,Port Hedland,2022,17031,4188,24.6,1805,10.6,3350,19.7,3106,18.2,2178,12.8,1718,10.1,686,4
57280,Port Hedland,2023,17247,4146,24,1907,11.1,3430,19.9,3138,18.2,2181,12.6,1718,10,727,4.2
